S.No.,Coverage_Name,Dwelling,Rating_Factors_Algorithm,Rating_Factors_PC_worksheet,Rating_Factors_Expected
1,Coverage A,Liability,Base Rate,table:BaseRate.Liability,BaseRate
2,Coverage A,Liability,Territory Relativities,table:Territory Relativities.Liability,TerrRel
3,Coverage A,Liability,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
4,Coverage A,Liability,Distance to Coast,table:Distance To Coast.Liability,
5,Coverage A,Liability,Acreage,table:Acreage.Liability,Acres
6,Coverage A,Liability,Farm Type,table:Farm_Type.Liability,FarmType
7,Coverage A,Liability,Credit,table:Credit.Liability,Credit
8,Coverage A,Liability,Protection Class,table:Protection Class.Liability,PC
9,Coverage A,Liability,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
10,Coverage A,Liability,Construction Type,table:Construction Materials for All.Liability,Constr
11,Coverage A,Liability,Number of Families,table:Number Of Families.Liability,NumFam
12,Coverage A,Liability,TownRowhouse,table:TownRowHouse.Liability,TownRow
13,Coverage A,Liability,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
14,Coverage A,Liability,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,CovARPC
15,Coverage A,Liability,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
16,Coverage A,Liability,Garage Factor,table:Garage Factor.Liability,Garages
17,Coverage A,Liability,Dwelling Claims Factor,,DwellClaims
18,Coverage A,Liability,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
19,Coverage A,Liability,New Business Loss Experience Factor,,
20,Coverage A,Liability,Pool Liability,table:Pool.Liability,Pool
21,Coverage A,Liability,Trampoline Liability,table:Trampoline.Liability,Trampoline
22,Coverage A,Liability,Perils Factor,table:Perils.Liability,Perils
23,Coverage A,Liability,Age of Dwelling,,AOD
24,Coverage A,Liability,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
25,Coverage A,Liability,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
26,Coverage A,Liability,Roof Shape,table:RoofShape.Liability,RoofShape
27,Coverage A,Liability,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
28,Coverage A,Liability,Utility Update ,table:Utility.Liability,UtilElec
29,Coverage A,Liability,Utility Update ,table:Utility.Liability,UtilHeat
30,Coverage A,Liability,Utility Update ,table:Utility.Liability,UtilPlumb
31,Coverage A,Liability,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
32,Coverage A,Liability,Fortified,table:Fortified.Liability,Fortified
33,Coverage A,Liability,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Liability,ProtDev
34,Coverage A,Liability,Wind Mitigation,table:Wind Mitigation.Liability,
35,Coverage A,Liability,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
36,Coverage A,Liability,Coverage Modification,,
37,Coverage A,Liability,Brushfire,table:Brushfire.Liability,
38,Coverage A,Liability,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
39,Coverage A,Liability,Foundation Type,table:FoundationType.Liability,Foundation
40,Coverage A,Liability,ACV Roof,table:ACVRoof.Liability,ACVRoof
41,Coverage A,Liability,All Peril Deductible,table:All Perils Deductible.Liability,APDed
42,Coverage A,Liability,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
43,Coverage A,Liability,Occupancy,table:Occupancy.Liability,Occupancy
44,Coverage A,Liability,Employee Discount,table:EmployeeDiscount,EmployDisc
45,Coverage A,Liability,IRPM Factor,IFactor,
46,Coverage A,Liability,Transfer Plan Factor,,
47,Coverage A,Hail,Base Rate,table:BaseRate.Liability,BaseRate
48,Coverage A,Hail,Territory Relativities,table:Territory Relativities.Liability,TerrRel
49,Coverage A,Hail,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
50,Coverage A,Hail,Distance to Coast,table:Distance To Coast.Liability,
51,Coverage A,Hail,Acreage,table:Acreage.Liability,Acres
52,Coverage A,Hail,Farm Type,table:Farm_Type.Liability,FarmType
53,Coverage A,Hail,Credit,table:Credit.Liability,Credit
54,Coverage A,Hail,Protection Class,table:Protection Class.Liability,PC
55,Coverage A,Hail,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
56,Coverage A,Hail,Construction Type,table:Construction Materials for All.Liability,Constr
57,Coverage A,Hail,Number of Families,table:Number Of Families.Liability,NumFam
58,Coverage A,Hail,TownRowhouse,table:TownRowHouse.Liability,TownRow
59,Coverage A,Hail,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
60,Coverage A,Hail,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,CovARPC
61,Coverage A,Hail,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
62,Coverage A,Hail,Garage Factor,table:Garage Factor.Liability,Garages
63,Coverage A,Hail,Dwelling Claims Factor,,DwellClaims
64,Coverage A,Hail,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
65,Coverage A,Hail,New Business Loss Experience Factor,,
66,Coverage A,Hail,Pool Liability,table:Pool.Liability,Pool
67,Coverage A,Hail,Trampoline Liability,table:Trampoline.Liability,Trampoline
68,Coverage A,Hail,Perils Factor,table:Perils.Liability,Perils
69,Coverage A,Hail,Age of Dwelling,,AOD
70,Coverage A,Hail,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
71,Coverage A,Hail,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
72,Coverage A,Hail,Roof Shape,table:RoofShape.Liability,RoofShape
73,Coverage A,Hail,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
74,Coverage A,Hail,Utility Update ,table:Utility.Liability,UtilElec
75,Coverage A,Hail,Utility Update ,table:Utility.Liability,UtilHeat
76,Coverage A,Hail,Utility Update ,table:Utility.Liability,UtilPlumb
77,Coverage A,Hail,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
78,Coverage A,Hail,Fortified,table:Fortified.Liability,Fortified
79,Coverage A,Hail,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Liability,ProtDev
80,Coverage A,Hail,Wind Mitigation,table:Wind Mitigation.Liability,
81,Coverage A,Hail,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
82,Coverage A,Hail,Coverage Modification,,
83,Coverage A,Hail,Brushfire,table:Brushfire.Liability,
84,Coverage A,Hail,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
85,Coverage A,Hail,Foundation Type,table:FoundationType.Liability,Foundation
86,Coverage A,Hail,ACV Roof,table:ACVRoof.Liability,ACVRoof
87,Coverage A,Hail,All Peril Deductible,table:All Perils Deductible.Liability,APDed
88,Coverage A,Hail,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
89,Coverage A,Hail,Occupancy,table:Occupancy.Liability,Occupancy
90,Coverage A,Hail,Employee Discount,table:EmployeeDiscount,EmployDisc
91,Coverage A,Hail,IRPM Factor,IFactor,
92,Coverage A,Hail,Transfer Plan Factor,,
93,Coverage A,Water,Base Rate,table:BaseRate.Liability,BaseRate
94,Coverage A,Water,Territory Relativities,table:Territory Relativities.Liability,TerrRel
95,Coverage A,Water,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
96,Coverage A,Water,Distance to Coast,table:Distance To Coast.Liability,
97,Coverage A,Water,Acreage,table:Acreage.Liability,Acres
98,Coverage A,Water,Farm Type,table:Farm_Type.Liability,FarmType
99,Coverage A,Water,Credit,table:Credit.Liability,Credit
100,Coverage A,Water,Protection Class,table:Protection Class.Liability,PC
101,Coverage A,Water,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
102,Coverage A,Water,Construction Type,table:Construction Materials for All.Liability,Constr
103,Coverage A,Water,Number of Families,table:Number Of Families.Liability,NumFam
104,Coverage A,Water,TownRowhouse,table:TownRowHouse.Liability,TownRow
105,Coverage A,Water,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
106,Coverage A,Water,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,CovARPC
107,Coverage A,Water,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
108,Coverage A,Water,Garage Factor,table:Garage Factor.Liability,Garages
109,Coverage A,Water,Dwelling Claims Factor,,DwellClaims
110,Coverage A,Water,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
111,Coverage A,Water,New Business Loss Experience Factor,,
112,Coverage A,Water,Pool Liability,table:Pool.Liability,Pool
113,Coverage A,Water,Trampoline Liability,table:Trampoline.Liability,Trampoline
114,Coverage A,Water,Perils Factor,table:Perils.Liability,Perils
115,Coverage A,Water,Age of Dwelling,,AOD
116,Coverage A,Water,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
117,Coverage A,Water,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
118,Coverage A,Water,Roof Shape,table:RoofShape.Liability,RoofShape
119,Coverage A,Water,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
120,Coverage A,Water,Utility Update ,table:Utility.Liability,UtilElec
121,Coverage A,Water,Utility Update ,table:Utility.Liability,UtilHeat
122,Coverage A,Water,Utility Update ,table:Utility.Liability,UtilPlumb
123,Coverage A,Water,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
124,Coverage A,Water,Fortified,table:Fortified.Liability,Fortified
125,Coverage A,Water,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Liability,ProtDev
126,Coverage A,Water,Wind Mitigation,table:Wind Mitigation.Liability,
127,Coverage A,Water,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
128,Coverage A,Water,Coverage Modification,,
129,Coverage A,Water,Brushfire,table:Brushfire.Liability,
130,Coverage A,Water,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
131,Coverage A,Water,Foundation Type,table:FoundationType.Liability,Foundation
132,Coverage A,Water,ACV Roof,table:ACVRoof.Liability,ACVRoof
133,Coverage A,Water,All Peril Deductible,table:All Perils Deductible.Liability,APDed
134,Coverage A,Water,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
135,Coverage A,Water,Occupancy,table:Occupancy.Liability,Occupancy
136,Coverage A,Water,Employee Discount,table:EmployeeDiscount,EmployDisc
137,Coverage A,Water,IRPM Factor,IFactor,
138,Coverage A,Water,Transfer Plan Factor,,
139,Coverage A,Theft,Base Rate,table:BaseRate.Liability,BaseRate
140,Coverage A,Theft,Territory Relativities,table:Territory Relativities.Liability,TerrRel
141,Coverage A,Theft,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
142,Coverage A,Theft,Distance to Coast,table:Distance To Coast.Liability,
143,Coverage A,Theft,Acreage,table:Acreage.Liability,Acres
144,Coverage A,Theft,Farm Type,table:Farm_Type.Liability,FarmType
145,Coverage A,Theft,Credit,table:Credit.Liability,Credit
146,Coverage A,Theft,Protection Class,table:Protection Class.Liability,PC
147,Coverage A,Theft,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
148,Coverage A,Theft,Construction Type,table:Construction Materials for All.Liability,Constr
149,Coverage A,Theft,Number of Families,table:Number Of Families.Liability,NumFam
150,Coverage A,Theft,TownRowhouse,table:TownRowHouse.Liability,TownRow
151,Coverage A,Theft,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
152,Coverage A,Theft,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,CovARPC
153,Coverage A,Theft,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
154,Coverage A,Theft,Garage Factor,table:Garage Factor.Liability,Garages
155,Coverage A,Theft,Dwelling Claims Factor,,DwellClaims
156,Coverage A,Theft,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
157,Coverage A,Theft,New Business Loss Experience Factor,,
158,Coverage A,Theft,Pool Liability,table:Pool.Liability,Pool
159,Coverage A,Theft,Trampoline Liability,table:Trampoline.Liability,Trampoline
160,Coverage A,Theft,Perils Factor,table:Perils.Liability,Perils
161,Coverage A,Theft,Age of Dwelling,,AOD
162,Coverage A,Theft,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
163,Coverage A,Theft,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
164,Coverage A,Theft,Roof Shape,table:RoofShape.Liability,RoofShape
165,Coverage A,Theft,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
166,Coverage A,Theft,Utility Update ,table:Utility.Liability,UtilElec
167,Coverage A,Theft,Utility Update ,table:Utility.Liability,UtilHeat
168,Coverage A,Theft,Utility Update ,table:Utility.Liability,UtilPlumb
169,Coverage A,Theft,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
170,Coverage A,Theft,Fortified,table:Fortified.Liability,Fortified
171,Coverage A,Theft,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Liability,ProtDev
172,Coverage A,Theft,Wind Mitigation,table:Wind Mitigation.Liability,
173,Coverage A,Theft,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
174,Coverage A,Theft,Coverage Modification,,
175,Coverage A,Theft,Brushfire,table:Brushfire.Liability,
176,Coverage A,Theft,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
177,Coverage A,Theft,Foundation Type,table:FoundationType.Liability,Foundation
178,Coverage A,Theft,ACV Roof,table:ACVRoof.Liability,ACVRoof
179,Coverage A,Theft,All Peril Deductible,table:All Perils Deductible.Liability,APDed
180,Coverage A,Theft,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
181,Coverage A,Theft,Occupancy,table:Occupancy.Liability,Occupancy
182,Coverage A,Theft,Employee Discount,table:EmployeeDiscount,EmployDisc
183,Coverage A,Theft,IRPM Factor,IFactor,
184,Coverage A,Theft,Transfer Plan Factor,,
185,Coverage A,Fire,Base Rate,table:BaseRate.Liability,BaseRate
186,Coverage A,Fire,Territory Relativities,table:Territory Relativities.Liability,TerrRel
187,Coverage A,Fire,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
188,Coverage A,Fire,Distance to Coast,table:Distance To Coast.Liability,
189,Coverage A,Fire,Acreage,table:Acreage.Liability,Acres
190,Coverage A,Fire,Farm Type,table:Farm_Type.Liability,FarmType
191,Coverage A,Fire,Credit,table:Credit.Liability,Credit
192,Coverage A,Fire,Protection Class,table:Protection Class.Liability,PC
193,Coverage A,Fire,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
194,Coverage A,Fire,Construction Type,table:Construction Materials for All.Liability,Constr
195,Coverage A,Fire,Number of Families,table:Number Of Families.Liability,NumFam
196,Coverage A,Fire,TownRowhouse,table:TownRowHouse.Liability,TownRow
197,Coverage A,Fire,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
198,Coverage A,Fire,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,CovARPC
199,Coverage A,Fire,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
200,Coverage A,Fire,Garage Factor,table:Garage Factor.Liability,Garages
201,Coverage A,Fire,Dwelling Claims Factor,,DwellClaims
202,Coverage A,Fire,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
203,Coverage A,Fire,New Business Loss Experience Factor,,
204,Coverage A,Fire,Pool Liability,table:Pool.Liability,Pool
205,Coverage A,Fire,Trampoline Liability,table:Trampoline.Liability,Trampoline
206,Coverage A,Fire,Perils Factor,table:Perils.Liability,Perils
207,Coverage A,Fire,Age of Dwelling,,AOD
208,Coverage A,Fire,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
209,Coverage A,Fire,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
210,Coverage A,Fire,Roof Shape,table:RoofShape.Liability,RoofShape
211,Coverage A,Fire,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
212,Coverage A,Fire,Utility Update ,table:Utility.Liability,UtilElec
213,Coverage A,Fire,Utility Update ,table:Utility.Liability,UtilHeat
214,Coverage A,Fire,Utility Update ,table:Utility.Liability,UtilPlumb
215,Coverage A,Fire,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
216,Coverage A,Fire,Fortified,table:Fortified.Liability,Fortified
217,Coverage A,Fire,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Liability,ProtDev
218,Coverage A,Fire,Wind Mitigation,table:Wind Mitigation.Liability,
219,Coverage A,Fire,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
220,Coverage A,Fire,Coverage Modification,,
221,Coverage A,Fire,Brushfire,table:Brushfire.Liability,
222,Coverage A,Fire,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
223,Coverage A,Fire,Foundation Type,table:FoundationType.Liability,Foundation
224,Coverage A,Fire,ACV Roof,table:ACVRoof.Liability,ACVRoof
225,Coverage A,Fire,All Peril Deductible,table:All Perils Deductible.Liability,APDed
226,Coverage A,Fire,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
227,Coverage A,Fire,Occupancy,table:Occupancy.Liability,Occupancy
228,Coverage A,Fire,Employee Discount,table:EmployeeDiscount,EmployDisc
229,Coverage A,Fire,IRPM Factor,IFactor,
230,Coverage A,Fire,Transfer Plan Factor,,
231,Coverage A,Hurricane,Base Rate,table:BaseRate.Liability,BaseRate
232,Coverage A,Hurricane,Territory Relativities,table:Territory Relativities.Liability,TerrRel
233,Coverage A,Hurricane,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
234,Coverage A,Hurricane,Distance to Coast,table:Distance To Coast.Liability,
235,Coverage A,Hurricane,Acreage,table:Acreage.Liability,Acres
236,Coverage A,Hurricane,Farm Type,table:Farm_Type.Liability,FarmType
237,Coverage A,Hurricane,Credit,table:Credit.Liability,Credit
238,Coverage A,Hurricane,Protection Class,table:Protection Class.Liability,PC
239,Coverage A,Hurricane,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
240,Coverage A,Hurricane,Construction Type,table:Construction Materials for All.Liability,Constr
241,Coverage A,Hurricane,Number of Families,table:Number Of Families.Liability,NumFam
242,Coverage A,Hurricane,TownRowhouse,table:TownRowHouse.Liability,TownRow
243,Coverage A,Hurricane,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
244,Coverage A,Hurricane,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,CovARPC
245,Coverage A,Hurricane,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
246,Coverage A,Hurricane,Garage Factor,table:Garage Factor.Liability,Garages
247,Coverage A,Hurricane,Dwelling Claims Factor,,DwellClaims
248,Coverage A,Hurricane,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
249,Coverage A,Hurricane,New Business Loss Experience Factor,,
